Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,y
49,4,9,5,1,1,4,0,0,0,40,39,FALSE
25,4,9,4,6,0,4,1,0,0,35,39,FALSE
57,1,13,2,10,4,2,1,0,0,40,39,TRUE
53,4,9,2,7,4,4,1,0,0,38,39,FALSE
44,4,14,0,4,1,4,0,0,0,40,39,FALSE
41,7,11,2,3,4,4,1,0,0,40,39,FALSE
29,4,11,4,10,0,4,1,0,0,43,39,FALSE
25,4,10,2,4,5,3,0,0,0,40,39,FALSE
18,4,9,4,8,3,4,0,0,0,30,0,FALSE
47,4,15,2,10,5,4,0,0,1902,60,16,TRUE
50,1,13,0,4,0,4,1,0,0,55,39,TRUE
47,5,9,0,4,0,4,1,0,0,60,39,FALSE
43,4,10,2,13,4,4,1,0,0,40,39,TRUE
46,4,3,2,7,4,4,1,0,0,40,26,FALSE
35,4,11,2,8,4,4,1,0,0,40,33,FALSE
41,4,9,2,1,4,4,1,0,0,48,39,FALSE
30,4,9,2,7,4,4,1,5013,0,40,39,FALSE
30,4,13,2,12,4,4,1,2407,0,40,39,FALSE
32,0,4,3,0,0,4,1,0,0,40,0,FALSE
48,4,9,2,14,4,4,1,0,0,40,39,FALSE
42,4,16,2,10,4,4,1,0,0,45,39,TRUE
29,4,10,0,13,0,4,1,0,0,58,39,FALSE
36,4,9,2,3,4,4,1,0,0,40,39,FALSE
28,4,10,0,1,0,4,0,0,0,40,39,FALSE
53,4,9,2,1,5,4,0,0,0,40,39,TRUE
49,5,10,2,4,4,4,1,0,0,50,39,TRUE
25,0,10,4,0,3,4,1,0,0,40,39,FALSE
19,4,10,4,10,3,4,1,0,0,32,39,FALSE
31,4,13,5,12,3,2,0,0,0,40,39,FALSE
29,6,13,2,12,4,4,1,0,0,70,39,TRUE
23,4,10,4,7,0,4,1,0,0,40,39,FALSE
79,4,10,2,10,2,4,1,0,0,20,39,FALSE
27,4,9,4,8,3,4,1,0,0,40,26,FALSE
40,4,12,2,1,4,4,1,0,0,40,39,FALSE
67,0,6,2,0,4,4,1,0,0,2,39,FALSE
18,4,7,4,8,3,4,0,0,0,22,39,FALSE
31,2,4,2,5,4,4,1,0,0,40,39,FALSE
18,4,9,4,12,0,4,1,0,0,30,39,FALSE
52,4,13,2,8,4,4,1,0,0,40,5,FALSE
46,4,9,2,8,5,4,0,0,0,40,39,FALSE
59,4,9,2,12,4,4,1,0,0,48,39,FALSE
44,4,9,0,3,0,4,0,14344,0,40,39,TRUE
53,4,9,0,12,3,4,0,0,0,35,39,FALSE
49,2,9,2,11,4,4,1,0,0,40,39,TRUE
33,4,14,2,10,4,4,1,0,0,50,39,FALSE
30,4,5,4,12,0,4,1,0,0,40,39,FALSE
43,1,16,4,10,0,4,0,0,0,50,39,TRUE
57,4,11,2,10,4,4,1,0,0,40,39,FALSE
37,4,10,0,3,1,4,0,0,0,40,39,FALSE
28,4,10,0,7,1,2,0,0,0,25,39,FALSE
30,4,9,2,12,5,1,0,0,1573,35,0,FALSE
34,2,13,2,11,4,4,1,0,0,40,39,TRUE
29,2,10,4,6,0,4,1,0,0,50,39,FALSE
48,6,16,2,10,4,4,1,0,1902,60,39,TRUE
37,4,10,2,12,4,4,1,0,0,48,39,TRUE
48,4,12,0,4,1,4,0,0,0,40,9,FALSE
32,1,9,4,8,3,2,1,0,0,40,39,FALSE
76,4,14,2,4,4,4,1,0,0,40,39,TRUE
44,4,13,2,4,4,4,1,15024,0,60,39,TRUE
47,6,14,4,10,0,4,0,0,0,50,39,FALSE
20,4,10,4,13,3,4,0,0,0,40,39,FALSE
29,4,9,4,3,0,4,1,0,0,40,39,FALSE
32,5,9,2,3,4,4,1,7688,0,40,39,TRUE
17,0,6,4,0,3,4,0,34095,0,32,39,FALSE
30,4,7,4,6,3,4,1,0,0,40,39,FALSE
31,2,9,4,1,0,4,0,0,0,40,39,FALSE
42,4,9,2,6,4,4,1,0,0,40,39,FALSE
24,4,13,4,12,2,4,1,0,0,40,39,FALSE
38,4,15,2,10,4,4,1,0,0,40,39,TRUE
56,6,9,2,8,4,4,1,0,1887,50,2,TRUE
28,4,10,2,12,5,4,0,4064,0,25,39,FALSE
36,4,9,4,7,3,4,0,0,0,40,39,FALSE
53,4,5,2,6,4,4,1,0,0,50,39,FALSE
56,5,10,2,12,4,4,1,0,0,50,39,FALSE
49,2,11,2,3,4,2,1,0,0,40,39,TRUE
55,4,10,2,12,4,4,1,0,0,56,39,FALSE
22,4,9,4,3,0,4,1,0,0,41,39,FALSE
21,4,10,4,8,3,4,0,0,0,40,39,FALSE
40,4,13,2,4,4,4,1,0,0,60,39,FALSE
30,4,13,4,4,3,2,1,0,0,40,11,FALSE
29,7,13,2,10,4,4,1,0,0,50,39,TRUE
19,4,10,4,8,3,2,1,0,0,35,39,FALSE
47,4,13,2,4,5,4,0,0,0,40,39,TRUE
20,4,10,4,1,3,4,0,0,1719,28,39,FALSE
31,4,12,2,1,4,4,1,0,0,40,39,TRUE
35,0,9,2,0,4,4,1,0,0,40,39,FALSE
39,4,10,0,3,0,4,1,0,0,40,39,FALSE
28,4,12,4,12,0,4,0,0,0,60,39,FALSE
24,4,9,4,8,0,4,0,0,1762,40,39,FALSE
38,6,9,2,3,4,4,1,4386,0,35,39,FALSE
37,4,13,2,12,4,4,1,0,0,50,39,FALSE
46,4,12,0,13,0,2,0,0,0,36,39,FALSE
38,1,14,2,10,4,4,1,0,0,40,20,TRUE
43,6,9,2,3,4,4,1,0,0,60,39,FALSE
27,4,11,2,1,5,4,0,0,0,35,39,FALSE
20,4,10,4,12,3,4,1,0,0,20,39,FALSE
49,4,10,2,3,4,1,1,0,0,40,39,TRUE
61,5,9,2,3,4,4,1,0,0,40,39,FALSE
27,4,10,4,12,3,4,0,0,0,40,39,FALSE
19,4,10,4,8,3,4,1,0,0,30,26,FALSE
45,4,11,4,10,0,4,0,0,1564,40,39,TRUE
70,4,10,4,13,2,4,1,0,0,40,39,FALSE
31,4,9,4,14,1,2,0,0,0,30,39,FALSE
22,4,10,2,8,4,4,1,0,0,24,39,FALSE
36,4,9,6,8,1,4,0,0,0,24,39,FALSE
64,4,7,2,3,4,4,1,0,2179,40,39,FALSE
43,0,10,0,0,0,4,0,0,0,40,39,FALSE
47,2,10,0,1,1,4,0,0,0,38,26,FALSE
34,4,9,4,1,0,4,0,0,0,40,39,FALSE
33,4,13,4,4,2,1,0,0,0,40,30,FALSE
21,4,9,4,3,3,4,1,0,0,35,39,FALSE
52,0,9,0,0,0,4,1,0,0,45,39,TRUE
48,4,9,2,3,4,4,1,0,0,46,39,FALSE
23,4,13,4,6,0,4,1,0,0,40,39,FALSE
71,6,10,5,12,1,2,1,0,1816,2,39,FALSE
29,4,9,0,3,0,4,1,0,0,60,39,FALSE
42,4,13,5,8,2,2,1,0,0,50,39,FALSE
68,0,2,0,0,0,4,0,0,0,20,39,FALSE
25,4,9,4,8,1,4,0,0,0,40,39,FALSE
44,5,14,0,4,1,1,0,0,0,40,39,FALSE
28,4,9,4,4,0,1,0,0,0,40,9,FALSE
45,6,14,2,12,4,4,1,0,0,40,39,TRUE
36,4,10,0,8,1,4,0,0,0,40,26,FALSE
39,1,12,4,4,0,4,1,0,0,42,39,FALSE
46,7,14,6,11,1,4,1,0,0,40,39,FALSE
18,4,7,4,6,3,4,1,0,0,16,39,FALSE
66,2,11,6,10,0,4,0,0,0,20,39,FALSE
27,4,9,4,8,0,4,1,0,1980,40,39,FALSE
28,7,9,2,11,4,4,1,0,0,40,39,FALSE
51,4,10,2,12,4,4,1,0,1977,40,39,TRUE
27,4,13,4,3,0,4,1,0,0,50,39,FALSE
28,7,13,2,10,4,4,1,0,0,40,39,TRUE
27,4,9,3,12,1,4,0,0,0,25,39,FALSE
21,4,9,4,3,3,2,1,0,0,40,39,FALSE
34,4,9,4,6,0,2,1,0,0,40,39,FALSE
18,4,9,4,8,3,4,1,0,0,12,39,FALSE
33,4,13,2,10,4,4,1,0,0,65,39,FALSE
44,2,10,2,4,4,2,1,0,0,38,39,TRUE
43,4,10,0,1,0,4,0,0,0,40,39,FALSE
30,4,10,4,3,0,2,1,0,0,45,39,FALSE
40,4,4,2,7,4,4,1,0,0,40,26,TRUE
37,1,10,2,1,4,4,1,0,0,42,39,TRUE
34,4,9,2,1,4,2,1,0,0,40,39,FALSE
41,6,13,0,4,0,4,0,0,0,40,39,FALSE
53,0,13,0,0,0,4,0,0,0,50,39,FALSE
31,4,14,2,10,5,4,0,0,0,50,39,FALSE
58,7,16,2,10,4,4,1,0,0,1,39,TRUE
38,4,10,0,7,0,2,0,0,0,28,39,FALSE
24,4,10,2,7,4,4,1,0,0,40,39,FALSE
41,2,13,2,3,4,2,1,0,0,40,39,FALSE
47,4,10,2,13,4,4,1,0,0,45,39,FALSE
41,1,13,2,13,4,4,1,0,0,24,39,FALSE
23,4,3,2,14,2,4,1,0,0,40,26,FALSE
36,4,10,0,3,0,4,1,0,0,40,39,FALSE
40,1,14,4,4,0,4,0,14084,0,55,39,TRUE
35,4,14,2,10,2,4,1,7298,0,40,39,TRUE
24,6,9,4,12,0,4,1,0,0,40,39,FALSE
26,4,14,4,10,0,4,0,0,1876,40,39,FALSE
19,0,9,4,0,3,4,1,0,0,40,22,FALSE
51,4,13,2,4,4,4,1,0,0,50,39,TRUE
42,2,10,4,10,0,4,0,0,1340,40,39,FALSE
37,7,9,0,1,1,4,0,0,0,35,39,FALSE
18,4,7,4,12,3,4,0,0,0,40,39,FALSE
36,4,13,2,8,4,2,1,7298,0,36,39,TRUE
35,4,9,0,3,0,4,1,0,0,60,39,FALSE
58,5,9,2,12,5,4,0,15024,0,35,39,TRUE
17,4,7,4,12,3,4,0,0,0,12,39,FALSE
44,2,9,2,14,4,2,1,0,0,40,39,FALSE
37,4,9,2,3,4,4,1,0,0,40,39,TRUE
35,4,10,4,12,0,0,0,0,0,40,39,FALSE
60,4,9,2,3,4,1,1,0,0,40,39,FALSE
54,5,4,2,7,4,4,1,0,0,40,39,TRUE
37,4,13,4,4,0,2,1,0,0,60,39,TRUE
50,4,12,0,12,0,4,0,0,0,40,39,FALSE
38,4,13,2,12,4,4,1,0,0,50,31,FALSE
45,4,13,2,10,4,4,1,0,0,55,39,FALSE
25,4,6,4,3,0,4,1,0,0,40,39,FALSE
31,4,10,2,6,4,4,1,0,0,40,39,FALSE
64,0,2,0,0,0,4,1,0,0,40,39,FALSE
90,4,9,4,8,0,2,1,0,2206,40,39,FALSE
54,4,9,2,1,4,2,1,0,0,20,39,FALSE
53,2,1,4,7,0,4,0,0,0,35,39,FALSE
18,4,9,4,12,3,4,0,0,0,40,39,FALSE
60,0,6,0,0,0,0,0,0,0,10,39,FALSE
66,6,9,2,5,4,4,1,1409,0,50,39,FALSE
75,4,11,6,1,0,4,0,0,0,20,4,FALSE
65,4,9,0,1,0,4,0,0,0,40,39,FALSE
35,4,7,5,14,0,2,1,3674,0,40,39,FALSE
41,4,9,0,12,1,2,0,0,0,38,39,FALSE
25,4,10,4,1,0,4,1,0,0,42,39,FALSE
33,4,10,0,3,2,3,0,0,0,40,39,FALSE
28,4,15,4,10,0,4,1,0,0,55,39,TRUE
59,7,9,2,8,4,4,1,0,0,40,39,FALSE
40,7,10,4,1,0,4,0,0,0,38,39,FALSE
41,4,13,2,4,4,4,1,0,0,50,20,TRUE
38,2,14,2,4,4,4,1,0,0,70,39,TRUE
23,4,9,4,14,3,4,1,0,0,40,39,FALSE
40,4,13,2,10,4,4,1,0,0,40,39,TRUE
41,6,9,2,8,5,4,0,0,0,20,39,FALSE
24,7,12,2,11,4,4,1,0,0,50,39,FALSE
20,0,10,4,0,3,4,1,0,0,20,39,FALSE
38,4,10,0,3,0,4,1,0,1741,40,39,FALSE
56,4,9,2,1,4,4,1,0,0,35,0,FALSE
58,4,9,2,1,4,4,1,0,0,45,39,TRUE
32,4,9,4,8,0,4,0,0,0,34,39,FALSE
40,4,12,2,13,4,4,1,0,1977,60,39,TRUE
45,4,9,2,1,4,4,1,0,0,40,0,FALSE
41,4,15,2,10,5,4,0,0,0,40,39,TRUE
42,4,13,2,1,5,2,0,0,0,40,39,FALSE
59,2,6,6,8,1,2,0,0,0,30,39,FALSE
19,2,10,4,1,3,4,1,0,0,40,39,FALSE
58,4,10,4,14,0,4,1,0,0,20,39,FALSE
42,6,9,2,5,4,1,1,0,0,40,1,TRUE
20,4,9,4,8,3,4,0,0,0,40,39,FALSE
32,4,9,5,8,0,4,0,0,0,30,39,FALSE
45,4,11,6,4,0,4,0,0,0,45,39,FALSE
50,4,4,0,3,0,4,1,0,0,40,39,FALSE
36,4,13,0,10,3,4,0,0,0,40,39,FALSE
45,4,9,2,12,4,4,1,0,0,60,39,FALSE
17,4,7,4,8,3,4,1,0,0,12,39,FALSE
59,4,10,2,12,4,4,1,4064,0,40,39,FALSE
26,4,7,2,3,4,4,1,0,0,40,39,FALSE
37,5,10,2,4,4,1,1,0,0,75,37,TRUE
19,0,10,4,0,3,4,1,0,0,24,2,FALSE
64,4,9,2,4,4,4,1,0,0,40,39,TRUE
33,4,13,4,10,0,4,0,0,0,45,39,FALSE
33,4,9,2,3,5,4,0,0,0,40,39,TRUE
61,4,9,2,4,4,4,1,0,0,40,39,TRUE
17,4,5,4,8,3,4,1,1055,0,24,39,FALSE
50,6,14,2,5,4,4,1,2407,0,98,39,FALSE
27,2,14,4,10,3,4,1,0,0,35,39,FALSE
30,4,9,0,10,3,4,0,0,0,40,39,FALSE
43,4,9,2,6,4,2,1,0,0,40,39,FALSE
44,4,10,2,3,4,4,1,7298,0,40,39,TRUE
35,4,10,4,4,0,4,0,0,0,40,39,FALSE
25,4,10,4,13,3,4,0,0,0,40,39,FALSE
24,4,10,2,7,5,4,0,7298,0,48,39,TRUE
22,4,13,4,10,0,4,0,0,0,15,11,FALSE
42,2,10,2,3,4,4,1,5178,0,40,39,TRUE
34,4,12,0,12,1,2,0,0,0,45,39,FALSE
60,4,13,0,10,0,4,0,0,0,42,39,FALSE
21,4,9,4,6,3,4,1,0,0,40,39,FALSE
57,1,14,2,12,4,4,1,15024,0,40,39,TRUE
41,4,15,2,10,4,4,1,0,0,60,39,TRUE
50,4,10,0,8,0,4,1,0,0,45,39,FALSE
25,4,13,4,4,0,4,0,0,0,40,39,FALSE
50,4,4,2,3,4,4,1,0,0,40,7,FALSE
36,4,13,2,10,4,4,1,0,0,45,39,FALSE
31,4,9,0,10,0,4,0,0,0,40,39,FALSE
29,2,13,4,11,0,4,1,0,0,56,39,FALSE
21,4,10,4,12,3,4,1,0,0,45,39,FALSE
27,4,13,4,13,1,2,0,0,0,40,39,FALSE
65,4,9,2,14,4,4,1,0,0,16,39,FALSE
37,5,13,0,12,0,4,0,0,0,60,39,FALSE
39,0,14,2,0,5,1,0,3464,0,40,0,FALSE
24,4,9,4,3,3,4,1,0,0,40,39,FALSE
38,4,9,0,12,0,4,1,0,0,80,39,FALSE
48,4,13,2,1,4,4,1,7688,0,40,39,TRUE
21,4,10,4,8,0,1,0,0,0,25,39,FALSE
31,4,9,2,14,4,4,1,0,0,45,39,TRUE
55,4,9,2,12,4,4,1,4386,0,40,39,TRUE
24,4,10,2,1,5,1,0,0,0,40,25,FALSE
43,4,9,0,1,0,4,0,0,0,40,39,FALSE
26,4,12,4,13,0,4,1,0,0,45,39,FALSE
46,4,12,4,10,0,4,0,0,0,33,39,FALSE
35,4,12,2,1,4,4,1,0,0,40,39,TRUE
41,5,10,2,5,4,4,1,0,0,54,39,TRUE
26,4,13,4,12,0,4,1,0,0,40,39,FALSE
34,4,14,2,4,4,1,1,7298,0,35,36,TRUE
19,0,10,4,0,3,2,0,0,0,25,39,FALSE
36,6,13,0,10,0,2,0,0,0,40,39,TRUE
22,4,10,4,12,3,4,1,0,0,15,39,FALSE
24,4,10,4,7,0,4,1,0,0,40,39,FALSE
77,6,10,2,12,4,4,1,0,0,40,39,FALSE
22,4,3,2,7,2,4,0,0,0,40,26,FALSE
29,4,10,4,13,0,4,0,0,0,40,39,FALSE
62,4,9,6,8,0,4,0,0,0,24,39,FALSE
39,6,9,2,4,4,4,1,0,0,40,39,FALSE
43,4,10,2,3,4,4,1,0,1485,50,39,FALSE
35,4,9,0,14,0,4,1,0,0,45,39,FALSE
29,4,7,4,4,0,4,0,0,0,40,39,FALSE
76,6,14,2,3,4,4,1,0,0,10,39,FALSE
63,6,9,2,5,4,4,1,0,0,45,39,FALSE
23,0,11,4,0,3,2,0,0,0,15,39,FALSE
43,4,10,2,10,5,4,0,0,1887,50,39,TRUE
58,6,9,2,6,4,4,1,0,0,40,39,FALSE
66,4,9,4,14,0,4,1,2050,0,55,39,FALSE
41,4,10,4,3,0,2,1,0,0,45,39,FALSE
26,4,13,4,1,0,4,1,0,0,40,39,FALSE
47,4,11,4,8,0,4,1,0,0,40,39,FALSE
55,2,6,2,1,4,4,1,0,0,40,39,FALSE
53,4,9,2,14,4,4,1,0,0,40,39,FALSE
17,4,3,4,8,2,4,1,0,0,48,26,FALSE
30,4,9,4,3,2,4,1,0,0,40,39,FALSE
49,4,14,4,10,0,4,1,0,0,60,39,FALSE
19,4,9,4,12,1,2,1,0,0,30,14,FALSE
45,4,9,2,8,4,2,1,0,0,40,39,FALSE
26,4,12,4,12,0,4,1,0,0,40,39,FALSE
38,4,11,2,3,4,4,1,7298,0,40,39,TRUE
36,7,9,2,11,4,4,1,7298,0,40,39,TRUE
33,4,9,4,5,0,4,1,0,0,20,39,FALSE
22,7,10,4,11,3,2,0,0,0,40,39,FALSE
43,6,13,4,12,0,4,1,0,0,42,39,FALSE
67,0,7,2,0,4,4,1,0,0,8,39,FALSE
30,0,11,0,0,1,4,0,0,0,40,39,FALSE
56,4,12,3,8,0,4,1,0,0,25,20,FALSE
31,4,13,4,10,3,4,1,0,0,25,39,FALSE
33,4,13,2,4,4,4,1,0,0,40,39,TRUE
26,4,9,2,8,4,4,1,0,0,40,39,FALSE
33,4,13,2,4,4,4,1,0,0,40,39,TRUE
46,2,7,2,14,4,4,1,0,0,30,39,FALSE
59,0,13,2,0,4,4,1,0,0,40,39,TRUE
38,1,9,2,1,4,4,1,0,0,40,39,TRUE
65,4,7,6,8,1,3,1,0,0,40,39,FALSE
40,4,11,2,13,4,4,1,0,0,40,39,TRUE
42,4,9,2,1,5,4,0,0,0,35,39,FALSE
26,6,5,2,3,4,4,1,0,0,40,32,FALSE
36,4,6,2,8,5,4,0,0,0,24,39,FALSE
62,4,14,2,10,4,4,1,0,0,40,39,TRUE
43,4,13,2,14,4,4,1,0,0,45,39,FALSE
43,4,13,0,4,0,4,1,0,1564,45,39,TRUE
22,4,9,3,12,0,4,1,0,0,55,39,FALSE
28,4,9,2,3,4,4,1,0,0,40,39,FALSE
56,6,10,2,12,4,4,1,0,0,45,39,FALSE
22,4,12,4,12,0,4,0,0,0,15,39,FALSE
57,4,13,0,4,0,4,0,0,0,45,39,TRUE
39,4,9,0,12,1,4,0,0,0,40,39,FALSE
26,1,10,4,1,1,4,0,0,0,15,39,FALSE
17,4,7,4,8,3,4,1,0,0,10,39,FALSE
40,7,11,2,7,4,4,1,0,0,38,39,TRUE
45,4,9,2,7,4,2,1,0,0,40,39,FALSE
44,4,9,4,3,0,2,1,0,0,40,39,FALSE
20,2,10,4,1,3,4,0,0,0,10,39,FALSE
33,4,9,2,3,5,4,0,0,0,40,39,FALSE
23,4,10,4,12,0,4,1,0,0,40,39,FALSE
46,6,14,0,4,0,4,1,0,0,30,39,FALSE
38,4,9,2,12,4,4,1,0,0,50,39,FALSE
54,4,9,0,14,0,4,1,0,0,40,39,FALSE
46,4,3,0,3,0,4,0,0,2339,45,39,FALSE
25,4,10,2,3,4,4,1,0,0,40,39,FALSE
46,4,10,0,12,0,4,0,0,0,40,39,FALSE
36,2,10,2,14,5,4,0,0,0,40,39,FALSE
23,4,9,4,8,0,4,0,0,0,25,39,FALSE
29,4,9,5,7,0,4,1,0,0,40,39,FALSE
44,4,10,2,1,5,4,0,0,2415,6,39,TRUE
19,4,10,4,1,3,4,0,0,0,16,39,FALSE
19,4,9,4,8,2,4,0,0,0,40,39,FALSE
35,4,9,2,8,5,4,0,0,0,40,39,TRUE
27,4,13,4,3,0,4,1,0,0,50,39,FALSE
46,6,12,5,3,0,4,1,0,0,40,39,FALSE
34,7,13,2,4,4,4,1,7688,0,45,0,TRUE
34,4,9,4,8,0,4,0,0,0,35,39,FALSE
44,4,10,2,13,4,4,1,0,0,40,39,FALSE
45,4,10,0,6,1,4,0,0,0,40,39,FALSE
20,0,9,4,0,2,4,0,0,0,35,39,FALSE
25,4,13,2,4,4,4,1,0,0,55,39,TRUE
52,5,13,2,4,4,4,1,0,0,50,39,TRUE
20,4,10,4,6,3,4,1,0,0,40,39,FALSE
28,4,10,4,8,0,4,0,0,0,40,39,FALSE
50,7,13,2,11,4,4,1,0,0,40,39,TRUE
34,4,11,0,13,0,4,0,0,0,64,39,FALSE
28,4,4,2,6,4,3,1,0,2179,40,33,FALSE
41,4,14,2,4,4,4,1,0,1977,65,39,TRUE
28,4,9,2,1,4,4,1,0,0,40,39,FALSE
46,6,9,2,3,4,4,1,0,0,25,39,FALSE
28,0,10,2,0,5,4,0,0,1887,40,39,TRUE
32,4,10,2,4,4,4,1,0,0,50,39,FALSE
41,2,10,0,8,0,2,0,0,0,24,39,FALSE
24,4,9,4,6,1,2,0,0,0,40,39,FALSE
33,4,10,0,4,1,4,0,0,0,40,39,FALSE
46,4,16,2,4,4,4,1,15024,0,60,39,TRUE
31,7,10,2,7,4,4,1,0,0,40,39,FALSE
35,4,8,0,3,0,4,1,0,0,50,39,TRUE
52,4,2,2,7,4,4,1,0,0,40,26,FALSE
30,4,7,4,8,3,4,0,0,0,19,39,FALSE
34,2,7,5,7,0,2,1,0,0,40,39,FALSE
34,7,9,0,14,1,4,0,0,0,40,39,FALSE
20,4,10,2,12,4,4,1,0,0,30,39,FALSE
17,4,7,4,6,3,4,1,2176,0,18,39,FALSE
32,7,13,2,4,5,4,0,0,0,40,39,TRUE
29,4,9,0,5,0,4,1,0,0,40,39,FALSE
33,4,6,4,3,1,4,0,0,0,35,39,FALSE
25,4,9,2,14,4,4,1,0,0,60,39,FALSE
36,1,14,4,10,0,4,1,0,1408,40,39,FALSE
23,4,9,4,6,0,4,1,0,0,72,6,FALSE
63,5,9,2,4,4,4,1,0,0,40,39,TRUE
47,2,14,2,10,4,4,1,0,0,40,39,FALSE
80,0,9,6,0,0,4,1,0,0,24,39,FALSE
17,0,7,4,0,3,4,1,0,0,40,39,FALSE
40,6,13,3,10,0,4,0,2174,0,40,39,FALSE
30,4,12,2,8,5,4,0,0,0,25,39,TRUE
27,4,10,4,3,3,1,1,0,1980,40,30,FALSE
33,4,14,2,10,4,4,1,0,0,50,39,TRUE
34,2,9,4,5,0,2,1,594,0,60,39,FALSE
34,2,10,4,11,0,4,0,0,0,40,39,FALSE
23,4,10,2,1,4,4,1,0,0,40,39,FALSE
42,2,10,2,1,5,4,0,0,0,40,39,FALSE
29,4,13,4,10,0,4,1,0,0,40,39,FALSE
45,4,9,0,1,0,4,0,0,0,28,39,FALSE
24,1,9,4,2,3,4,1,0,0,40,39,FALSE
44,4,10,2,10,4,4,1,0,0,40,39,TRUE
27,4,5,4,3,2,4,1,0,0,40,26,FALSE
20,4,10,4,12,0,4,1,0,0,35,39,FALSE
44,4,9,6,4,1,2,0,0,0,40,39,FALSE
51,4,9,2,3,4,0,1,0,0,40,39,FALSE
20,4,9,2,7,4,4,1,0,0,40,39,FALSE
17,0,7,4,0,3,4,0,0,0,5,39,FALSE
19,4,9,4,7,3,2,0,0,0,40,39,FALSE
45,5,10,2,3,4,4,1,0,0,55,39,TRUE
60,4,9,2,3,4,4,1,0,0,40,39,TRUE
42,4,12,2,4,4,2,1,0,0,40,0,TRUE
44,6,9,2,12,5,4,0,0,0,40,39,TRUE
40,4,11,2,7,4,1,1,0,0,40,39,TRUE
30,4,9,2,4,5,4,0,0,0,40,39,FALSE
38,4,10,2,14,4,2,1,0,0,50,39,FALSE
23,4,9,2,14,4,4,1,0,0,60,39,FALSE
32,0,10,2,0,4,4,1,0,0,40,39,FALSE
44,4,12,4,5,3,4,1,0,0,40,39,FALSE
54,2,9,2,14,4,2,1,0,0,40,39,FALSE
32,4,13,2,10,4,4,1,0,0,50,39,FALSE
50,4,2,3,3,1,4,1,0,0,40,39,FALSE
24,4,13,4,13,0,4,0,0,0,20,39,FALSE
37,4,9,2,1,5,4,0,0,0,60,39,FALSE
52,4,9,0,14,1,4,1,0,0,40,39,FALSE
38,4,10,2,14,4,4,1,0,0,40,39,FALSE
49,4,14,2,4,4,4,1,0,1977,45,39,TRUE
30,4,13,2,13,5,4,0,0,0,16,39,TRUE
60,4,10,4,10,1,4,1,0,0,40,39,TRUE
22,0,10,4,0,3,4,1,0,0,40,39,FALSE
35,4,9,4,3,0,4,1,0,0,40,39,FALSE
30,4,9,4,14,0,4,1,0,0,60,39,FALSE
67,4,11,0,8,0,4,0,0,0,24,39,FALSE
46,4,13,4,3,0,4,0,0,0,40,39,FALSE
